Mass Number (A),Atomic Number (Z),Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (log(s)),Q_beta- WS4 (keV),Q_beta- WS4+RBF (keV),Pairing Term,Predicted Half-Life (log(s)),Uncertainty (std dev),Lower CI (95%),Upper CI (95%)
31.0,11.0,31Na,0.0168,1.0,-1.7746907182741372,16364.3,15571.000000000002,0,-1.606277,0.4149666,-2.4196115,-0.7929424
31.0,12.0,31Mg,0.27,1.0,-0.5686362358410126,11454.2,11684.7,0,-0.9781338,0.3738183,-1.7108177,-0.2454499
31.0,13.0,31Al,0.644,1.0,-0.1911141326401879,7481.5,7889.700000000001,0,0.44067723,0.5608097,-0.6585098,1.5398643
31.0,14.0,31Si,9429.6,1.0,3.974493270523413,1521.5,1497.0,0,3.9500854,1.3609945,1.2825363,6.617635
32.0,10.0,32Ne,0.0035,1.0,-2.4559319556497243,18678.7,18339.599999999995,1,-2.1541865,0.45408696,-3.044197,-1.264176
32.0,11.0,32Na,0.0129,1.0,-1.889410289700751,20221.800000000003,19495.6,-1,-1.7280917,0.4233612,-2.5578797,-0.89830375
32.0,12.0,32Mg,0.0804,1.0,-1.0947439512515489,10446.2,10257.6,1,-1.260833,0.3918914,-2.0289402,-0.4927259
32.0,13.0,32Al,0.0326,1.0,-1.486782399932061,12479.000000000002,13036.5,-1,-0.7113659,0.35739785,-1.4118657,-0.010866046
32.0,15.0,32P,1232841.6,1.0,6.090907280435891,3031.300000000003,2781.699999999997,-1,4.0085187,1.4566966,1.1533933,6.863644
33.0,11.0,33Na,0.0081999999999999,1.0,-2.0861861476162886,19126.9,18390.700000000004,0,-1.9034672,0.4357018,-2.7574427,-1.0494916
33.0,12.0,33Mg,0.092,1.0,-1.0362121726544449,14836.6,14070.2,0,-1.4436171,0.4039671,-2.2353926,-0.6518415
33.0,13.0,33Al,0.04146,1.0,-1.382370702242158,11238.0,11750.000000000004,0,-0.9203497,0.37021345,-1.6459681,-0.19473135
33.0,14.0,33Si,6.18,1.0,0.7909884750888159,5040.700000000001,5460.5,0,1.5501206,0.83000875,-0.076696634,3.1769378
33.0,15.0,33P,2190240.0,1.0,6.340491706148248,1033.5999999999983,633.0999999999985,0,4.341225,1.3955916,1.6058655,7.076585
34.0,11.0,34Na,0.0055,1.0,-2.2596373105057563,23031.6,22503.9,-1,-2.0100186,0.44359744,-2.8794696,-1.1405675
34.0,12.0,34Mg,0.0449,1.0,-1.3477536589966768,13012.0,12250.6,1,-1.5402455,0.41047257,-2.3447719,-0.73571926
34.0,13.0,34Al,0.05373,1.0,-1.269783159431306,16535.800000000003,16634.600000000002,-1,-1.3347679,0.39673948,-2.1123774,-0.5571585
34.0,14.0,34Si,2.77,1.0,0.4424797690644485,3544.8,4124.4000000000015,1,1.4191232,0.757483,-0.06554353,2.90379
34.0,15.0,34P,12.43,1.0,1.0944711286416449,6135.699999999997,6176.199999999997,-1,1.9218726,0.9537714,0.05248058,3.7912645
35.0,11.0,35Na,0.0015,1.0,-2.8239087409443187,22057.6,21855.3,0,-2.2291217,0.45973307,-3.1301985,-1.3280449
35.0,12.0,35Mg,0.0113,1.0,-1.9469215565165805,16516.600000000002,15927.2,0,-1.6242009,0.41619328,-2.4399397,-0.8084621
35.0,13.0,35Al,0.03816,1.0,-1.4183916339679423,14854.500000000002,14753.0,0,-1.4467692,0.40417805,-2.2389584,-0.65458024
35.0,14.0,35Si,0.78,1.0,-0.1079053973095195,9133.4,9557.0,0,-0.26334116,0.39405787,-1.0356946,0.5090122
35.0,15.0,35P,47.3,1.0,1.6748611407378116,4549.799999999999,4790.4000000000015,0,1.8482678,0.8856758,0.11234319,3.5841923
36.0,12.0,36Mg,0.0039,1.0,-2.408935392973501,15393.200000000004,15000.000000000002,1,-1.7960539,0.42810374,-2.6351373,-0.9569705
36.0,13.0,36Al,0.09,1.0,-1.0457574905606752,18131.0,17922.3,-1,-1.5062543,0.40817454,-2.3062763,-0.7062322
36.0,14.0,36Si,0.503,1.0,-0.2984320149440726,7654.1,7843.4,1,-0.41424727,0.37949523,-1.1580579,0.32956338
36.0,15.0,36P,5.6,1.0,0.7481880270062004,10194.2,10704.7,-1,0.07972938,0.48065862,-0.86236155,1.0218203
36.0,17.0,36Cl,9508101803800.0,0.981,12.98642481571741,1524.5999999999983,1455.8999999999978,-1,4.8378587,1.6281577,1.6466694,8.029048
37.0,13.0,37Al,0.0114,1.0,-1.9430951486635275,16682.2,16790.3,0,-1.7507699,0.42165828,-2.57722,-0.9243196
37.0,14.0,37Si,0.141,1.0,-0.8507808873446201,11264.1,11524.100000000002,0,-1.0506096,0.37724933,-1.7900183,-0.31120086
37.0,15.0,37P,2.31,1.0,0.3636119798921443,8609.7,8843.599999999999,0,-0.024159968,0.4405951,-0.88772637,0.83940643
37.0,16.0,37S,303.0,1.0,2.481442628502305,4116.5,4004.399999999998,0,2.163183,1.0123864,0.17890549,4.1474605
38.0,13.0,38Al,0.009,1.0,-2.0457574905606752,20527.8,20413.5,-1,-1.9083633,0.4322144,-2.7555037,-1.061223
38.0,14.0,38Si,0.063,1.0,-1.2006594505464183,9865.8,10122.3,1,-1.206079,0.38676453,-1.9641376,-0.44802052
38.0,15.0,38P,0.64,1.0,-0.1938200260161128,12304.7,12557.600000000002,-1,-0.77598876,0.3609133,-1.4833789,-0.06859869
38.0,16.0,38S,10218.0,1.0,4.009365898346244,2513.5,2494.0999999999985,1,2.3814957,0.7843767,0.8441174,3.918874
38.0,17.0,38Cl,2233.8,1.0,3.349044286602036,5623.300000000007,5584.5,-1,2.1487138,1.0657388,0.059865713,4.237562
39.0,13.0,39Al,0.0076,1.0,-2.1191864077192086,19687.1,19526.3,0,-2.1322768,0.4475747,-3.0095232,-1.2550304
39.0,14.0,39Si,0.0412,1.0,-1.3851027839668657,13861.8,14318.2,0,-1.394319,0.39854738,-2.175472,-0.61316615
39.0,15.0,39P,0.282,1.0,-0.549750891680639,10711.5,11029.1,0,-0.9204242,0.3694306,-1.6445082,-0.1963402
39.0,16.0,39S,11.5,1.0,1.0606978403536118,6494.4000000000015,6150.300000000003,0,0.6945252,0.71201336,-0.701021,2.0900714
39.0,17.0,39Cl,3372.0,1.0,3.527887565952705,3839.9999999999927,3891.099999999995,0,2.3330364,1.0328056,0.30873752,4.357335
39.0,18.0,39Ar,8457256168.0,1.0,9.92722948545279,176.00000000000728,135.5,0,5.142109,1.3430651,2.5097013,7.7745166
40.0,14.0,40Si,0.0312,1.0,-1.5058454059815571,12912.6,13263.7,1,-1.6086025,0.4123143,-2.4167385,-0.8004665
40.0,15.0,40P,0.15,1.0,-0.8239087409443188,14740.2,14984.3,-1,-1.1765902,0.38494474,-1.9310819,-0.42209852
40.0,16.0,40S,8.8,1.0,0.9444826721501688,4642.599999999999,4448.700000000001,1,0.885706,0.66734076,-0.42228192,2.1936939
40.0,17.0,40Cl,81.0,1.0,1.9084850188786493,8034.199999999997,7936.700000000001,-1,0.75209135,0.73806435,-0.6945148,2.1986976
40.0,19.0,40K,3.9383043648e+16,0.8928,16.644555095176905,1702.0,1706.699999999997,-1,4.6783204,1.6129243,1.5169888,7.839652
41.0,14.0,41Si,0.02,1.0,-1.6989700043360187,16693.6,17077.5,0,-1.7538631,0.42186353,-2.5807157,-0.9270106
41.0,15.0,41P,0.101,1.0,-0.9956786262173574,13597.5,14091.500000000002,0,-1.3621864,0.3965156,-2.139357,-0.58501583
41.0,16.0,41S,1.99,1.0,0.2988530764097066,8694.400000000001,8387.3,0,-0.0827868,0.4243982,-0.9146073,0.7490337
41.0,17.0,41Cl,38.4,1.0,1.5843312243675307,6051.200000000004,5779.299999999999,0,0.8903943,0.7637656,-0.6065863,2.3873749
41.0,18.0,41Ar,6576.6,1.0,3.818001428133308,2566.0999999999985,2442.5999999999985,0,3.1629946,1.1471994,0.9144838,5.4115057
42.0,14.0,42Si,0.0125,1.0,-1.9030899869919435,15180.9,15190.4,1,-1.8928854,0.43116835,-2.7379754,-1.0477955
42.0,15.0,42P,0.0485,1.0,-1.3142582613977365,17554.399999999998,18114.5,-1,-1.5339012,0.40747193,-2.3325462,-0.73525625
42.0,16.0,42S,1.016,1.0,0.0068937079479004,7382.700000000001,7402.700000000001,1,-0.3365936,0.3863162,-1.0937734,0.4205862
42.0,17.0,42Cl,6.8,1.0,0.8325089127062363,10095.200000000004,9710.5,-1,0.074718475,0.48069778,-0.86744916,1.0168861
42.0,18.0,42Ar,1038222865.4,1.0,9.016290589373977,575.2999999999956,292.6999999999971,1,3.937032,1.0676419,1.8444538,6.02961
42.0,19.0,42K,44478.0,1.0,4.648145250505386,3844.599999999999,3848.5,-1,3.2697496,1.3124549,0.69733787,5.842161
43.0,15.0,43P,0.0358,1.0,-1.4461169733561257,16264.7,16671.9,0,-1.7008457,0.41835782,-2.520827,-0.8808644
43.0,16.0,43S,0.265,1.0,-0.5767541260631921,11521.6,11778.6,0,-1.104835,0.38054597,-1.8507051,-0.35896492
43.0,17.0,43Cl,3.13,1.0,0.4955443375464484,8621.800000000003,8215.500000000004,0,-0.06944227,0.428292,-0.9088946,0.77001005
43.0,18.0,43Ar,322.2,1.0,2.5081255360832,4800.700000000001,4408.799999999999,0,1.6836708,0.90712124,-0.09428692,3.4616284
43.0,19.0,43K,80280.0,1.0,4.904607363815448,1843.699999999997,1855.9999999999927,0,3.7257102,1.1278335,1.5151565,5.936264
44.0,15.0,44P,0.0185,1.0,-1.7328282715969865,20105.0,20231.9,-1,-1.8577664,0.4288025,-2.6982193,-1.0173135
44.0,16.0,44S,0.1,1.0,-1.0,10433.2,10810.9,1,-1.2852775,0.39168677,-2.0529835,-0.5175714
44.0,17.0,44Cl,0.562,1.0,-0.2502636844309389,12670.899999999998,12488.700000000004,-1,-0.8850716,0.3673306,-1.6050396,-0.16510355
44.0,18.0,44Ar,712.1999999999999,1.0,2.852601969338235,3253.7000000000007,2673.899999999994,1,1.7590773,0.7573179,0.27473414,3.2434206
44.0,19.0,44K,1327.8,1.0,3.1231326643109014,6096.5,6095.9000000000015,-1,1.8051906,0.98469687,-0.124815345,3.7351966
45.0,16.0,45S,0.068,1.0,-1.1674910872937636,14695.9,14803.4,0,-1.5031981,0.40549505,-2.2979684,-0.70842785
45.0,17.0,45Cl,0.413,1.0,-0.384049948343599,11415.7,11265.399999999998,0,-1.0933055,0.3798431,-1.8377979,-0.348813
45.0,18.0,45Ar,21.48,1.0,1.332034277027518,7305.200000000004,6968.600000000002,0,0.39859658,0.5921988,-0.76211303,1.5593061
45.0,19.0,45K,1068.0,1.0,3.028571252692537,4406.299999999996,4195.5,0,1.9251969,0.9517968,0.059675097,3.7907186
45.0,20.0,45Ca,14049504.000000002,1.0,7.147660992293385,199.29999999999563,342.6999999999971,0,5.0941687,1.3314999,2.4844286,7.703909
46.0,16.0,46S,0.05,1.0,-1.3010299956639813,13625.6,13729.1,1,-1.7028539,0.41849014,-2.5230947,-0.88261324
46.0,17.0,46Cl,0.232,1.0,-0.6345120151091003,16059.899999999998,16238.7,-1,-1.3470824,0.39556348,-2.122387,-0.57177794
46.0,18.0,46Ar,8.4,1.0,0.9242792860618816,5924.200000000004,5491.399999999998,1,0.25610554,0.53449017,-0.7914952,1.3037063
46.0,19.0,46K,96.3,1.0,1.9836262871245345,8420.299999999996,8004.200000000004,-1,0.5839512,0.67074937,-0.7307176,1.8986199
46.0,21.0,46Sc,7236604.800000001,1.0,6.859534855911156,2071.400000000001,2438.2000000000044,-1,4.394021,1.5572671,1.3417776,7.4462643
47.0,17.0,47Cl,0.101,1.0,-0.9956786262173574,15067.6,14960.9,0,-1.5517609,0.40862542,-2.3526669,-0.7508551
47.0,18.0,47Ar,1.23,1.0,0.0899051114393979,10735.100000000006,10750.399999999994,0,-0.95425504,0.3714495,-1.682296,-0.22621399
47.0,19.0,47K,17.38,1.0,1.2400497721126476,7038.099999999999,6697.200000000004,0,0.47176498,0.6216439,-0.7466571,1.690187
47.0,20.0,47Ca,391910.4,1.0,5.593186788363743,2210.400000000001,2134.5,0,3.408017,1.1214228,1.2100282,5.6060057
47.0,21.0,47Sc,289370.88,1.0,5.461454825015149,68.19999999999709,247.0,0,5.193368,1.3554834,2.5366204,7.850116
48.0,18.0,48Ar,0.415,1.0,-0.3819519032879073,9605.9,9542.4,1,-1.1799822,0.38515368,-1.9348834,-0.42508096
48.0,19.0,48K,6.83,1.0,0.8344207036815325,12078.6,12007.9,-1,-0.75350255,0.3596021,-1.4583226,-0.04868245
48.0,21.0,48Sc,157212.0,1.0,5.196485692688627,4027.0,4207.299999999996,-1,3.113645,1.2651087,0.634032,5.593258
49.0,18.0,49Ar,0.236,1.0,-0.6270879970298935,13103.7,13295.399999999998,0,-1.3051834,0.39293194,-2.07533,-0.5350368
49.0,19.0,49K,1.26,1.0,0.1003705451175629,10896.700000000004,10896.1,0,-1.0021561,0.3743235,-1.7358302,-0.2684821
49.0,20.0,49Ca,523.08,1.0,2.7185681150653087,5555.999999999993,5600.099999999999,0,1.5406861,0.7245336,0.12060022,2.960772
49.0,21.0,49Sc,3430.8,1.0,3.535395401405614,2140.000000000008,1946.800000000003,0,4.19763,1.2022575,1.8412051,6.5540547
50.0,18.0,50Ar,0.106,1.0,-0.9746941347352298,12183.5,12290.4,1,-1.4777331,0.41716725,-2.295381,-0.6600853
