Mass Number (A),Atomic Number (Z),Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (log(s))
109,46,109Pd,48924.0,1.0,4.689521957499782
110,40,110Zr,0.0375,1.0,-1.4259687322722812
110,42,110Mo,0.292,1.0,-0.5346171485515817
110,43,110Tc,0.9,1.0,-0.045757490560675115
110,44,110Ru,12.04,1.0,1.0806264869218056
111,40,111Zr,0.024,1.0,-1.619788758288394
111,41,111Nb,0.054,1.0,-1.2676062401770316
111,42,111Mo,0.1936,1.0,-0.7130946470276252
111,43,111Tc,0.35,1.0,-0.45593195564972444
111,44,111Ru,2.12,1.0,0.32633586092875144
111,45,111Rh,11.0,1.0,1.0413926851582251
111,46,111Pd,1413.6,1.0,3.150326536498708
111,47,111Ag,642211.2,1.0,5.8076778752818425
112,40,112Zr,0.043,1.0,-1.3665315444204136
112,41,112Nb,0.038,1.0,-1.4202164033831899
112,42,112Mo,0.125,1.0,-0.9030899869919435
112,43,112Tc,0.323,1.0,-0.4907974776688971
112,44,112Ru,1.75,1.0,0.24303804868629444
112,45,112Rh,3.4,1.0,0.5314789170422551
112,46,112Pd,75744.0,1.0,4.879348236248989
112,47,112Ag,11268.0,1.0,4.051846838313736
112,49,112In,892.8000000000001,0.38,3.3709705849766936
113,41,113Nb,0.032,1.0,-1.494850021680094
113,42,113Mo,0.08,1.0,-1.0969100130080565
113,43,113Tc,0.152,1.0,-0.8181564120552275
113,44,113Ru,0.8,1.0,-0.09691001300805639
113,45,113Rh,2.8,1.0,0.4471580313422192
113,46,113Pd,93.0,1.0,1.9684829485539352
113,47,113Ag,19332.0,1.0,4.286276786466843
113,48,113Cd,253717685040000.0,1.0,14.404350740172452
114,41,114Nb,0.017,1.0,-1.7695510786217261
114,42,114Mo,0.058,1.0,-1.2365720064370627
114,44,114Ru,0.54,1.0,-0.2676062401770315
114,46,114Pd,145.2,1.0,2.161966616364075
114,47,114Ag,4.6,1.0,0.6627578316815741
114,49,114In,71.9,0.995,1.8589058096371571
115,41,115Nb,0.023,1.0,-1.6382721639824072
115,42,115Mo,0.0455,1.0,-1.3419886033428876
115,43,115Tc,0.078,1.0,-1.1079053973095196
115,44,115Ru,0.318,1.0,-0.4975728800155673
115,45,115Rh,1.03,1.0,0.012837224705172217
115,46,115Pd,25.0,1.0,1.3979400086720377
115,47,115Ag,1200.0,1.0,3.0791812460476247
115,48,115Cd,192456.0,1.0,5.284331455187806
115,49,115In,13916604366000.0,1.0,13.14353328089184
116,42,116Mo,0.032,1.0,-1.494850021680094
116,43,116Tc,0.057,1.0,-1.2441251443275085
116,44,116Ru,0.204,1.0,-0.6903698325741012
116,46,116Pd,11.8,1.0,1.0718820073061255
116,47,116Ag,229.8,1.0,2.3613500243522663
116,48,116Cd,8.488813094e+17,1.0,17.92884697142641
117,42,117Mo,0.022,1.0,-1.6575773191777938
117,43,117Tc,0.0445,1.0,-1.3516399890190685
117,44,117Ru,0.151,1.0,-0.8210230527068306
117,45,117Rh,0.421,1.0,-0.3757179041643317
117,46,117Pd,4.3,1.0,0.6334684555795865
117,47,117Ag,73.6,1.0,1.8668778143374989
117,48,117Cd,9010.8,1.0,3.9547633503755106
117,49,117In,2592.0,1.0,3.413634997198556
118,42,118Mo,0.021,1.0,-1.6777807052660807
118,43,118Tc,0.03,1.0,-1.5228787452803376
118,44,118Ru,0.099,1.0,-1.00436480540245
118,46,118Pd,1.9,1.0,0.2787536009528289
118,47,118Ag,3.76,1.0,0.5751878449276611
118,48,118Cd,3018.0,1.0,3.479719235439571
119,43,119Tc,0.022,1.0,-1.6575773191777938
119,44,119Ru,0.0695,1.0,-1.158015195409886
119,45,119Rh,0.19,1.0,-0.721246399047171
119,46,119Pd,0.92,1.0,-0.036212172654444715
119,48,119Cd,161.4,1.0,2.2079035303860515
119,49,119In,144.0,1.0,2.1583624920952498
120,43,120Tc,0.021,1.0,-1.6777807052660807
120,44,120Ru,0.045,1.0,-1.3467874862246563
120,45,120Rh,0.1296,1.0,-0.8873949984654255
120,46,120Pd,0.492,1.0,-0.30803489723263966
120,48,120Cd,50.8,1.0,1.7058637122839193
121,43,121Tc,0.022,1.0,-1.6575773191777938
121,44,121Ru,0.029,1.0,-1.537602002101044
121,45,121Rh,0.074,1.0,-1.1307682802690238
121,46,121Pd,0.29,1.0,-0.5376020021010439
121,48,121Cd,13.5,1.0,1.130333768495006
121,49,121In,23.1,1.0,1.3636119798921444
121,50,121Sn,97308.0,1.0,4.988148546466013
122,44,122Ru,0.025,1.0,-1.6020599913279623
122,45,122Rh,0.051,1.0,-1.2924298239020637
122,46,122Pd,0.193,1.0,-0.7144426909922262
122,48,122Cd,5.24,1.0,0.7193312869837267
122,51,122Sb,235336.32,0.9759,5.382283640021653
123,44,123Ru,0.019,1.0,-1.7212463990471711
123,45,123Rh,0.042,1.0,-1.3767507096020994
123,46,123Pd,0.108,1.0,-0.9665762445130504
123,47,123Ag,0.294,1.0,-0.5316526695878427
123,48,123Cd,2.1,1.0,0.3222192947339193
123,49,123In,6.17,1.0,0.7902851640332417
123,50,123Sn,11162879.999999998,1.0,7.047776256137959
124,44,124Ru,0.015,1.0,-1.8239087409443189
124,45,124Rh,0.03,1.0,-1.5228787452803376
124,46,124Pd,0.088,1.0,-1.0555173278498313
124,48,124Cd,1.25,1.0,0.09691001300805642
124,51,124Sb,5201280.0,1.0,6.716110233736718
125,45,125Rh,0.0265,1.0,-1.576754126063192
125,46,125Pd,0.06,1.0,-1.2218487496163564
125,47,125Ag,0.16,1.0,-0.7958800173440752
125,48,125Cd,0.68,1.0,-0.16749108729376366
125,49,125In,2.36,1.0,0.37291200297010657
125,50,125Sn,832377.6,1.0,5.920320384457309
125,51,125Sb,87021379.1376,1.0,7.939625961823893
126,45,126Rh,0.019,1.0,-1.7212463990471711
126,46,126Pd,0.0486,1.0,-1.3133637307377066
126,47,126Ag,0.052,1.0,-1.2839966563652008
126,48,126Cd,0.512,1.0,-0.2907300390241692
126,49,126In,1.53,1.0,0.1846914308175988
126,50,126Sn,7258092980000.0,1.0,12.860822527441595
126,51,126Sb,1067040.0,1.0,6.028180700074578
126,53,126I,1117152.0,0.473,6.373251126621476
127,45,127Rh,0.028,1.0,-1.5528419686577808
127,46,127Pd,0.038,1.0,-1.4202164033831899
127,48,127Cd,0.48,1.0,-0.31875876262441283
127,49,127In,1.086,1.0,0.03582982525282817
127,50,127Sn,7560.0,1.0,3.8785217955012063
127,51,127Sb,332640.0,1.0,5.521974471987394
127,52,127Te,33660.0,1.0,4.527114111639805
128,46,128Pd,0.035,1.0,-1.4559319556497243
128,47,128Ag,0.06,1.0,-1.2218487496163564
128,48,128Cd,0.246,1.0,-0.6090648928966209
128,49,128In,0.8160000000000001,1.0,-0.08830984124613883
128,50,128Sn,3544.2,1.0,3.5495182212414242
128,52,128Te,71003083500000.0,1.0,13.851277209535365
128,53,128I,1499.4,0.931,3.2069678255287513
129,46,129Pd,0.031,1.0,-1.5086383061657274
129,48,129Cd,0.147,1.0,-0.8326826652518239
129,49,129In,0.5700000000000001,1.0,-0.24412514432750856
129,50,129Sn,133.8,1.0,2.1264561134318045
129,51,129Sb,15717.6,1.0,4.196386232140408
129,52,129Te,4176.0,1.0,3.620760489994206
129,53,129I,509328785640000.0,1.0,14.706998221810053
130,47,130Ag,0.0406,1.0,-1.391473966422806
130,48,130Cd,0.1268,1.0,-0.8968807464542862
130,50,130Sn,223.2,1.0,2.348694190265541
130,51,130Sb,2370.0,1.0,3.374748346010104
130,52,130Te,2.4961528466e+19,1.0,19.397271174921677
130,53,130I,44496.0,1.0,4.648320971520084
130,55,130Cs,1752.6,0.016,5.039562824701268
131,47,131Ag,0.035,1.0,-1.4559319556497243
131,48,131Cd,0.098,1.0,-1.0087739243075051
131,49,131In,0.2615,1.0,-0.582528306796707
131,50,131Sn,56.0,1.0,1.7481880270062005
131,51,131Sb,1381.8000000000002,1.0,3.140445188347875
131,52,131Te,1500.0,1.0,3.1760912590556813
131,53,131I,693351.3600000001,1.0,5.84095337175284
132,47,132Ag,0.03,1.0,-1.5228787452803376
132,48,132Cd,0.084,1.0,-1.0757207139381184
132,49,132In,0.2022,1.0,-0.6942188487450178
132,50,132Sn,39.7,1.0,1.5987905067631152
132,51,132Sb,167.4,1.0,2.2237554536572413
132,52,132Te,276825.60000000003,1.0,5.442206249891093
132,53,132I,8262.0,1.0,3.9170851906405675
132,55,132Cs,559872.0,0.0187,7.476247141812988
133,48,133Cd,0.061,1.0,-1.214670164989233
133,49,133In,0.163,1.0,-0.7878123955960422
133,50,133Sn,1.37,1.0,0.1367205671564068
133,51,133Sb,140.39999999999998,1.0,2.1473671077937864
133,52,133Te,750.0,1.0,2.8750612633917
133,53,133I,74988.0,1.0,4.874991770715033
133,54,133Xe,453375.36,1.0,5.6564579134375705
134,48,134Cd,0.065,1.0,-1.1870866433571443
134,49,134In,0.136,1.0,-0.8664610916297825
134,50,134Sn,0.93,1.0,-0.03151705144606486
134,51,134Sb,0.674,1.0,-0.17134010346468015
134,52,134Te,2508.0,1.0,3.399327532158679
134,53,134I,3150.0,1.0,3.4983105537896004
134,55,134Cs,65165052.19,1.0,7.814014747416421
135,49,135In,0.103,1.0,-0.9871627752948278
135,50,135Sn,0.515,1.0,-0.28819277095880896
135,51,135Sb,1.668,1.0,0.2221960463017199
135,52,135Te,19.0,1.0,1.2787536009528289
135,53,135I,23688.0,1.0,4.374528394381243
135,54,135Xe,32904.0,1.0,4.5172486965011185
135,55,135Cs,41970711580000.0,1.0,13.622946332391088
136,49,136In,0.086,1.0,-1.0655015487564323
136,50,136Sn,0.355,1.0,-0.4497716469449059
136,51,136Sb,0.923,1.0,-0.03479829897408793
136,52,136Te,17.63,1.0,1.246252312299322
136,53,136I,83.4,1.0,1.9211660506377388
136,54,136Xe,68794098680.0,1.0,10.837551185028607
136,55,136Cs,1124064.0,1.0,6.0507910390404795
137,49,137In,0.07,1.0,-1.154901959985743
137,50,137Sn,0.249,1.0,-0.6038006529042637
137,51,137Sb,0.497,1.0,-0.3036436112666679
137,52,137Te,2.49,1.0,0.3961993470957364
137,53,137I,24.13,1.0,1.3825573219087859
137,54,137Xe,229.08,1.0,2.3599871744412915
137,55,137Cs,947970057.04,1.0,8.976794619756133
138,50,138Sn,0.148,1.0,-0.8297382846050426
138,51,138Sb,0.333,1.0,-0.47755576649368014
138,52,138Te,1.46,1.0,0.1643528557844371
138,53,138I,6.26,1.0,0.7965743332104297
138,54,138Xe,848.4000000000001,1.0,2.9286006598445242
138,55,138Cs,2010.0,1.0,3.303196057420489
138,57,138La,3.250363378e+18,0.345,18.9741128210559
139,50,139Sn,0.12,1.0,-0.9208187539523752
139,51,139Sb,0.182,1.0,-0.7399286120149252
139,52,139Te,0.724,1.0,-0.1402614338028531
139,53,139I,2.28,1.0,0.35793484700045375
139,54,139Xe,39.68,1.0,1.598571663482141
139,55,139Cs,556.1999999999999,1.0,2.7452309845281406
139,56,139Ba,4975.8,1.0,3.6968629157659647
140,51,140Sb,0.17,1.0,-0.7695510786217261
140,52,140Te,0.351,1.0,-0.4546928835341759
140,53,140I,0.588,1.0,-0.23062267392386154
140,54,140Xe,13.6,1.0,1.1335389083702174
140,55,140Cs,63.7,1.0,1.8041394323353506
140,56,140Ba,1101893.76,1.0,6.0421397236718715
140,57,140La,145040.4,1.0,5.161488988809137
141,51,141Sb,0.103,1.0,-0.9871627752948278
141,52,141Te,0.193,1.0,-0.7144426909922262
141,53,141I,0.42,1.0,-0.37675070960209955
141,54,141Xe,1.73,1.0,0.23804610312879543
141,55,141Cs,24.84,1.0,1.3951515915045425
141,56,141Ba,1096.2,1.0,3.0398897977361816
141,57,141La,14112.0,1.0,4.149588567787744
141,58,141Ce,2808432.0,1.0,6.448463912854392
142,51,142Sb,0.08,1.0,-1.0969100130080565
142,52,142Te,0.147,1.0,-0.8326826652518239
142,53,142I,0.235,1.0,-0.6289321377282637
142,54,142Xe,1.23,1.0,0.08990511143939793
142,55,142Cs,1.687,1.0,0.22711508258912522
142,56,142Ba,636.0,1.0,2.803457115648414
142,57,142La,5466.0,1.0,3.737669627356642
143,52,143Te,0.12,1.0,-0.9208187539523752
143,53,143I,0.182,1.0,-0.7399286120149252
143,54,143Xe,0.511,1.0,-0.29157909986528724
143,55,143Cs,1.802,1.0,0.2557547866430442
143,56,143Ba,14.5,1.0,1.1613680022349748
143,57,143La,852.0,1.0,2.9304395947667
143,58,143Ce,118940.4,1.0,5.075329394710599
143,59,143Pr,1172448.0,1.0,6.06909359013863
144,52,144Te,0.093,1.0,-1.031517051446065
144,53,144I,0.094,1.0,-1.0268721464003014
144,54,144Xe,0.388,1.0,-0.41116827440579273
144,55,144Cs,0.994,1.0,-0.00261361560268669
144,56,144Ba,11.73,1.0,1.0692980121155293
144,57,144La,44.0,1.0,1.6434526764861874
144,58,144Ce,24614150.4,1.0,7.391184849941816
144,59,144Pr,1036.8000000000002,1.0,3.0156949885265183
145,53,145I,0.0897,1.0,-1.0472075569559078
145,54,145Xe,0.188,1.0,-0.7258421507363202
145,55,145Cs,0.582,1.0,-0.23507701535011155
145,56,145Ba,4.31,1.0,0.6344772701607315
145,57,145La,24.8,1.0,1.3944516808262164
145,58,145Ce,180.6,1.0,2.256717745977487
145,59,145Pr,21542.4,1.0,4.333294085623693
146,53,146I,0.094,1.0,-1.0268721464003014
146,54,146Xe,0.146,1.0,-0.835647144215563
146,55,146Cs,0.3216,1.0,-0.4926839599235864
146,56,146Ba,2.15,1.0,0.33243845991560533
146,58,146Ce,809.4,1.0,2.9081632000555477
146,59,146Pr,1445.4,1.0,3.1599880503819873
146,61,146Pm,174509800.78,0.34,8.710340905686445
147,54,147Xe,0.088,1.0,-1.0555173278498313
147,55,147Cs,0.2305,1.0,-0.637329070274333
147,56,147Ba,0.893,1.0,-0.049148541111453566
147,57,147La,4.026,1.0,0.6048737705526357
147,58,147Ce,56.4,1.0,1.7512791039833422
147,59,147Pr,803.4000000000001,1.0,2.904931827395653
147,60,147Nd,948672.0,1.0,5.977116082592967
147,61,147Pm,82786439.6684,1.0,7.91795920563173
148,54,148Xe,0.085,1.0,-1.0705810742857071
148,55,148Cs,0.1518,1.0,-0.8187282284405385
148,56,148Ba,0.62,1.0,-0.2076083105017461
148,57,148La,1.414,1.0,0.15044940946088056
148,58,148Ce,56.8,1.0,1.7543483357110188
148,59,148Pr,137.4,1.0,2.137986732723532
148,61,148Pm,463795.2,1.0,5.6663262496398294
149,55,149Cs,0.1123,1.0,-0.9496202437385423
149,56,149Ba,0.349,1.0,-0.45717457304082015
149,57,149La,1.071,1.0,0.029789470831855614
149,58,149Ce,4.94,1.0,0.693726948923647
149,59,149Pr,135.6,1.0,2.1322596895310446
149,60,149Nd,6220.8,1.0,3.7938462389101617
149,61,149Pm,191088.0,1.0,5.281233414959686
150,55,150Cs,0.081,1.0,-1.0915149811213503
150,56,150Ba,0.258,1.0,-0.5883802940367698
150,57,150La,0.504,1.0,-0.2975694635544747
150,58,150Ce,6.05,1.0,0.7817553746524689
150,59,150Pr,6.19,1.0,0.791690649020118
150,60,150Nd,2.934794118e+17,1.0,17.467577639977936
150,61,150Pm,9712.8,1.0,3.987344446103173
151,55,151Cs,0.059,1.0,-1.2291479883578558
151,56,151Ba,0.167,1.0,-0.7772835288524167
151,57,151La,0.465,1.0,-0.33254704711004607
151,58,151Ce,1.76,1.0,0.24551266781414982
151,59,151Pr,18.9,1.0,1.276461804173244
151,60,151Nd,746.4,1.0,2.8729716307384434
151,61,151Pm,102240.0,1.0,5.009620840814325
151,62,151Sm,2985285199.6,1.0,9.474985827825794
152,56,152Ba,0.139,1.0,-0.8569851997459049
152,57,152La,0.287,1.0,-0.5421181032660077
152,58,152Ce,1.42,1.0,0.15228834438305647
152,59,152Pr,3.57,1.0,0.5526682161121932
152,60,152Nd,684.0,1.0,2.835056101720116
152,63,152Eu,426554968.742,0.2792,9.18405959126653
153,56,153Ba,0.113,1.0,-0.9469215565165803
153,57,153La,0.245,1.0,-0.6108339156354675
153,58,153Ce,0.865,1.0,-0.06298389253518578
153,59,153Pr,4.28,1.0,0.631443769013172
153,60,153Nd,31.6,1.0,1.4996870826184039
153,61,153Pm,315.0,1.0,2.4983105537896004
153,62,153Sm,166624.56,1.0,5.221739015596263
154,56,154Ba,0.053,1.0,-1.275724130399211
154,57,154La,0.161,1.0,-0.7931741239681502
154,58,154Ce,0.722,1.0,-0.1414628024303609
154,59,154Pr,2.3,1.0,0.36172783601759284
154,60,154Nd,25.9,1.0,1.413299764081252
154,63,154Eu,271137108.19200003,0.99982,8.43326713982264
155,57,155La,0.101,1.0,-0.9956786262173574
155,58,155Ce,0.313,1.0,-0.5044556624535516
155,59,155Pr,1.47,1.0,0.1673173347481761
155,60,155Nd,8.9,1.0,0.9493900066449128
155,61,155Pm,41.5,1.0,1.6180480967120927
155,62,155Sm,1330.8,1.0,3.124112792196785
155,63,155Eu,149642943.092,1.0,8.175056241066171
156,57,156La,0.084,1.0,-1.0757207139381184
156,58,156Ce,0.233,1.0,-0.632644078973981
156,59,156Pr,0.444,1.0,-0.3526170298853802
156,60,156Nd,5.06,1.0,0.7041505168397991
156,61,156Pm,27.4,1.0,1.437750562820388
156,62,156Sm,33840.0,1.0,4.529430354366986
156,63,156Eu,1312416.0,1.0,6.11807151634168
157,58,157Ce,0.175,1.0,-0.7569619513137056
157,59,157Pr,0.307,1.0,-0.5128616245228135
157,60,157Nd,1.15,1.0,0.06069784035361165
157,61,157Pm,10.56,1.0,1.0236639181977936
157,62,157Sm,481.8,1.0,2.6828667956623247
157,63,157Eu,54648.0,1.0,4.737574272326749
158,58,158Ce,0.099,1.0,-1.00436480540245
158,59,158Pr,0.181,1.0,-0.7423214251308154
158,60,158Nd,0.81,1.0,-0.09151498112135023
158,61,158Pm,4.8,1.0,0.6812412373755872
158,62,158Sm,318.0,1.0,2.5024271199844326
158,63,158Eu,2754.0,1.0,3.439963935920905
158,65,158Tb,5680246680.0,0.166,10.534259108487252
159,59,159Pr,0.134,1.0,-0.8728952016351924
159,60,159Nd,0.5,1.0,-0.3010299956639812
159,61,159Pm,1.49,1.0,0.17318626841227405
159,62,159Sm,11.37,1.0,1.0557604646877348
159,63,159Eu,1086.0,1.0,3.035829825252828
159,64,159Gd,66524.4,1.0,4.822980966231856
160,59,160Pr,0.17,1.0,-0.7695510786217261
160,60,160Nd,0.439,1.0,-0.35753547975787864
160,61,160Pm,0.725,1.0,-0.13966199342900631
160,62,160Sm,9.6,1.0,0.9822712330395684
160,63,160Eu,42.6,1.0,1.6294095991027189
160,65,160Tb,6246720.0,1.0,6.795652039773424
161,60,161Nd,0.215,1.0,-0.6675615400843947
161,61,161Pm,1.05,1.0,0.021189299069938092
161,62,161Sm,4.8,1.0,0.6812412373755872
161,63,161Eu,26.2,1.0,1.4183012913197455
161,64,161Gd,218.76,1.0,2.3399679147026013
161,65,161Tb,600307.2000000001,1.0,5.778373552253955
162,60,162Nd,0.31,1.0,-0.5086383061657274
162,61,162Pm,0.63,1.0,-0.2006594505464183
162,62,162Sm,2.7,1.0,0.43136376415898736
162,64,162Gd,504.0,1.0,2.7024305364455254
162,65,162Tb,456.0,1.0,2.6589648426644352
163,61,163Pm,0.255,1.0,-0.5934598195660449
163,62,163Sm,1.3,1.0,0.11394335230683679
163,63,163Eu,7.7,1.0,0.8864907251724818
163,64,163Gd,68.0,1.0,1.8325089127062364
163,65,163Tb,1170.0,1.0,3.0681858617461617
164,62,164Sm,1.43,1.0,0.15533603746506178
164,63,164Eu,4.16,1.0,0.6190933306267428
164,64,164Gd,45.0,1.0,1.6532125137753437
164,65,164Tb,180.0,1.0,2.255272505103306
165,62,165Sm,0.98,1.0,-0.00877392430750515
165,63,165Eu,2.53,1.0,0.40312052117581787
165,64,165Gd,11.6,1.0,1.0644579892269186
165,65,165Tb,126.6,1.0,2.1024337056813365
165,66,165Dy,8395.199999999999,1.0,3.924031046854264
166,62,166Sm,0.8,1.0,-0.09691001300805639
166,63,166Eu,1.24,1.0,0.09342168516223508
166,64,166Gd,5.1,1.0,0.7075701760979364
166,65,166Tb,27.1,1.0,1.4329692908744058
166,66,166Dy,293760.0,1.0,5.4679926595211485
166,67,166Ho,96523.2,1.0,4.9846317114889755
167,63,167Eu,1.33,1.0,0.12385164096708581
167,64,167Gd,4.2,1.0,0.6232492903979004
167,65,167Tb,18.9,1.0,1.276461804173244
167,66,167Dy,372.0,1.0,2.5705429398818973
167,67,167Ho,11160.0,1.0,4.04766419460156
168,63,168Eu,0.2,1.0,-0.6989700043360187
168,64,168Gd,3.03,1.0,0.481442628502305
168,65,168Tb,9.4,1.0,0.9731278535996987
168,66,168Dy,522.0,1.0,2.717670503002262
168,67,168Ho,179.4,1.0,2.2538224387080734
168,69,168Tm,8043839.999999999,0.0001,10.905463423460237
169,64,169Gd,0.75,1.0,-0.12493873660829995
169,65,169Tb,5.13,1.0,0.7101173651118162
169,66,169Dy,39.0,1.0,1.5910646070264993
169,67,169Ho,283.2,1.0,2.4520932490177314
169,68,169Er,811468.7999999999,1.0,5.909271826382432
170,64,170Gd,0.42,1.0,-0.37675070960209955
170,65,170Tb,0.96,1.0,-0.017728766960431606
170,66,170Dy,54.9,1.0,1.739572344450092
170,69,170Tm,11111040.0,0.99869,7.046324009810535
171,65,171Tb,1.23,1.0,0.08990511143939793
171,66,171Dy,4.07,1.0,0.6095944092252201
171,67,171Ho,53.0,1.0,1.7242758696007892
171,68,171Er,27057.6,1.0,4.432289272195775
171,69,171Tm,60589297.92,1.0,7.782395920127551
172,65,172Tb,0.76,1.0,-0.11918640771920865
172,66,172Dy,3.4,1.0,0.5314789170422551
172,67,172Ho,25.0,1.0,1.3979400086720377
172,68,172Er,177480.0,1.0,5.2491494200445175
172,69,172Tm,228960.0,1.0,5.359759616415701
173,66,173Dy,1.43,1.0,0.15533603746506178
173,67,173Ho,7.1,1.0,0.8512583487190752
173,68,173Er,86.03999999999999,1.0,1.934700401715425
173,69,173Tm,29664.0,1.0,4.4722297124644035
174,67,174Ho,3.7,1.0,0.568201724066995
174,68,174Er,192.0,1.0,2.2833012287035497
174,69,174Tm,324.0,1.0,2.510545010206612
175,67,175Ho,1.88,1.0,0.2741578492636798
175,68,175Er,72.0,1.0,1.8573324964312685
175,69,175Tm,912.0,1.0,2.959994838328416
175,70,175Yb,361584.0,1.0,5.558209204808172
176,69,176Tm,111.0,1.0,2.0453229787866576
176,71,176Lu,1.16792183126e+18,1.0,18.067413776519114
177,70,177Yb,6879.6,1.0,3.8375631878223
177,71,177Lu,574067.52,1.0,5.7589629757409675
178,70,178Yb,4440.0,1.0,3.6473829701146196
178,71,178Lu,1704.0,1.0,3.2314695904306814
179,70,179Yb,480.0,1.0,2.681241237375587
179,71,179Lu,16524.0,1.0,4.218115186304549
180,70,180Yb,144.0,1.0,2.1583624920952498
180,71,180Lu,342.0,1.0,2.534026106056135
180,73,180Ta,29354.4,0.15,5.291581948827744
181,71,181Lu,210.0,1.0,2.322219294733919
181,72,181Hf,3662496.0,1.0,6.563777159047114
182,71,182Lu,120.0,1.0,2.0791812460476247
182,72,182Hf,280856641400000.0,1.0,14.448484698068915
182,73,182Ta,9913536.0,1.0,6.996228588025316
183,71,183Lu,58.0,1.0,1.7634279935629373
183,72,183Hf,3664.8,1.0,3.5640502787680273
183,73,183Ta,440640.0,1.0,5.64408391857683
184,71,184Lu,20.0,1.0,1.3010299956639813
184,72,184Hf,14832.0,1.0,4.171199716800422
184,73,184Ta,31320.0,1.0,4.495821753385906
185,72,185Hf,210.0,1.0,2.322219294733919
185,73,185Ta,2964.0,1.0,3.4718781993072905
185,74,185W,6488639.999999999,1.0,6.812153679483061
186,72,186Hf,156.0,1.0,2.1931245983544616
186,73,186Ta,630.0,1.0,2.7993405494535817
186,75,186Re,321278.4,0.9253,5.540598966134933
187,73,187Ta,138.0,1.0,2.1398790864012365
187,74,187W,85712.40000000001,1.0,4.933043655785684
187,75,187Re,1.3127681216e+18,1.0,18.118188022050745
188,73,188Ta,19.6,1.0,1.2922560713564761
188,74,188W,6028128.0,1.0,6.780182465458037
188,75,188Re,61218.0,1.0,4.786879137036029
189,74,189W,696.0,1.0,2.842609239610562
189,75,189Re,87480.0,1.0,4.9419087743656
190,73,190Ta,5.3,1.0,0.724275869600789
190,74,190W,1800.0,1.0,3.255272505103306
190,75,190Re,180.0,1.0,2.255272505103306
191,75,191Re,588.0,1.0,2.7693773260761385
191,76,191Os,1295136.0,1.0,6.112315375327173
192,73,192Ta,2.2,1.0,0.3424226808222063
192,75,192Re,15.4,1.0,1.187520720836463
192,77,192Ir,6378047.999999999,0.9524,6.8258683966056894
193,76,193Os,107388.0,1.0,5.03095575412935
194,75,194Re,5.0,1.0,0.6989700043360189
194,76,194Os,189341556.0,1.0,8.277245941807646
194,77,194Ir,69660.0,1.0,4.842983470122218
195,75,195Re,6.0,1.0,0.7781512503836436
195,76,195Os,390.0,1.0,2.591064607026499
195,77,195Ir,8244.0,1.0,3.916137983107175
196,76,196Os,2094.0,1.0,3.3209766773428235
196,77,196Ir,52.0,1.0,1.7160033436347992
196,79,196Au,532656.0,0.07,6.881348783396387
197,76,197Os,93.0,1.0,1.9684829485539352
197,77,197Ir,348.0,1.0,2.5415792439465807
197,78,197Pt,71609.40000000001,1.0,4.854970034880155
198,76,198Os,125.0,1.0,2.0969100130080562
198,77,198Ir,8.7,1.0,0.9395192526186185
198,79,198Au,232816.896,1.0,5.367014494763499
199,76,199Os,6.0,1.0,0.7781512503836436
199,77,199Ir,7.0,1.0,0.8450980400142568
199,78,199Pt,1848.0,1.0,3.2667019668840878
199,79,199Au,271209.6,1.0,5.433305058178936
200,76,200Os,7.0,1.0,0.8450980400142568
200,77,200Ir,43.0,1.0,1.6334684555795866
200,78,200Pt,45360.0,1.0,4.65667304588485
200,79,200Au,2904.0,1.0,3.462996612028056
201,77,201Ir,21.0,1.0,1.3222192947339193
201,78,201Pt,150.0,1.0,2.1760912590556813
201,79,201Au,1560.0,1.0,3.1931245983544616
202,77,202Ir,11.0,1.0,1.0413926851582251
202,78,202Pt,158400.0,1.0,5.199755177253475
202,79,202Au,28.4,1.0,1.4533183400470377
203,78,203Pt,22.0,1.0,1.3424226808222062
203,79,203Au,60.0,1.0,1.7781512503836436
203,80,203Hg,4027104.0,1.0,6.604992845411479
204,78,204Pt,10.3,1.0,1.0128372247051722
204,79,204Au,38.3,1.0,1.5831987739686226
204,81,204Tl,119379851.058,0.9708,8.089801265056849
205,79,205Au,32.0,1.0,1.505149978319906
205,80,205Hg,308.4,1.0,2.4891143693789193
206,79,206Au,47.0,1.0,1.6720978579357175
206,80,206Hg,499.2000000000001,1.0,2.698274576674368
206,81,206Tl,252.12,1.0,2.4016072984535772
207,80,207Hg,174.0,1.0,2.2405492482826
207,81,207Tl,286.2,1.0,2.4566696294237578
208,80,208Hg,135.0,1.0,2.130333768495006
208,81,208Tl,183.18,1.0,2.2628780546823055
209,80,209Hg,6.3,1.0,0.7993405494535817
209,81,209Tl,129.72,1.0,2.1130069400009353
209,82,209Pb,11646.0,1.0,4.066176785772006
210,80,210Hg,64.0,1.0,1.806179973983887
210,81,210Tl,78.0,1.0,1.8920946026904804
210,82,210Pb,700563757.1999999,1.0,8.84544766587464
210,83,210Bi,433036.8,1.0,5.636524804801006
211,80,211Hg,26.4,1.0,1.421603926869831
211,81,211Tl,81.0,1.0,1.9084850188786497
211,82,211Pb,2169.768,1.0,3.3364132998825213
211,83,211Bi,128.4,0.00276,4.667655941667617
212,81,212Tl,31.0,1.0,1.4913616938342726
212,82,212Pb,38257.2,1.0,4.582713181346061
212,83,212Bi,3633.0,0.6406000000000001,3.7536784635349116
