Mass Number (A),Atomic Number (Z),Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (log(s))
40,19,40K,3.9383043648e+16,0.8928,16.644555095176905
41,14,41Si,0.02,1.0,-1.6989700043360187
41,15,41P,0.101,1.0,-0.9956786262173574
41,16,41S,1.99,1.0,0.29885307640970665
41,17,41Cl,38.4,1.0,1.5843312243675307
41,18,41Ar,6576.6,1.0,3.818001428133308
42,14,42Si,0.0125,1.0,-1.9030899869919435
42,15,42P,0.0485,1.0,-1.3142582613977363
42,16,42S,1.016,1.0,0.006893707947900457
42,17,42Cl,6.8,1.0,0.8325089127062363
42,18,42Ar,1038222865.4,1.0,9.016290589373975
42,19,42K,44478.0,1.0,4.648145250505386
43,15,43P,0.0358,1.0,-1.4461169733561257
43,16,43S,0.265,1.0,-0.5767541260631921
43,17,43Cl,3.13,1.0,0.49554433754644844
43,18,43Ar,322.2,1.0,2.5081255360831993
43,19,43K,80280.0,1.0,4.904607363815448
44,15,44P,0.0185,1.0,-1.7328282715969863
44,16,44S,0.1,1.0,-1.0
44,17,44Cl,0.562,1.0,-0.2502636844309389
44,18,44Ar,712.1999999999999,1.0,2.852601969338235
44,19,44K,1327.8,1.0,3.1231326643109014
45,16,45S,0.068,1.0,-1.1674910872937636
45,17,45Cl,0.413,1.0,-0.384049948343599
45,18,45Ar,21.48,1.0,1.332034277027518
45,19,45K,1068.0,1.0,3.0285712526925375
45,20,45Ca,14049504.000000002,1.0,7.147660992293385
46,16,46S,0.05,1.0,-1.3010299956639813
46,17,46Cl,0.232,1.0,-0.6345120151091003
46,18,46Ar,8.4,1.0,0.9242792860618817
46,19,46K,96.3,1.0,1.9836262871245345
46,21,46Sc,7236604.800000001,1.0,6.859534855911156
47,17,47Cl,0.101,1.0,-0.9956786262173574
47,18,47Ar,1.23,1.0,0.08990511143939793
47,19,47K,17.38,1.0,1.2400497721126476
47,20,47Ca,391910.4,1.0,5.593186788363743
47,21,47Sc,289370.88,1.0,5.461454825015149
48,18,48Ar,0.415,1.0,-0.3819519032879073
48,19,48K,6.83,1.0,0.8344207036815325
48,21,48Sc,157212.0,1.0,5.196485692688627
49,18,49Ar,0.236,1.0,-0.6270879970298935
49,19,49K,1.26,1.0,0.10037054511756291
49,20,49Ca,523.08,1.0,2.7185681150653087
49,21,49Sc,3430.8,1.0,3.535395401405614
50,18,50Ar,0.106,1.0,-0.9746941347352298
50,19,50K,0.472,1.0,-0.32605800136591223
50,20,50Ca,13.45,1.0,1.1287222843384268
50,21,50Sc,102.5,1.0,2.010723865391773
51,19,51K,0.365,1.0,-0.4377071355435253
51,20,51Ca,10.0,1.0,1.0
51,21,51Sc,12.4,1.0,1.0934216851622351
51,22,51Ti,345.6,1.0,2.5385737338068557
52,19,52K,0.11,1.0,-0.958607314841775
52,20,52Ca,4.6,1.0,0.6627578316815741
52,21,52Sc,8.2,1.0,0.9138138523837167
52,22,52Ti,102.0,1.0,2.0086001717619175
52,23,52V,224.58,1.0,2.3513710774980656
53,19,53K,0.03,1.0,-1.5228787452803376
53,20,53Ca,0.461,1.0,-0.33629907461035186
53,21,53Sc,2.4,1.0,0.38021124171160603
53,22,53Ti,32.7,1.0,1.5145477526602862
53,23,53V,92.58,1.0,1.966517176446792
54,19,54K,0.01,1.0,-2.0
54,20,54Ca,0.09,1.0,-1.0457574905606752
54,21,54Sc,0.526,1.0,-0.27901425584626094
54,22,54Ti,2.1,1.0,0.3222192947339193
54,23,54V,49.8,1.0,1.6972293427597176
54,25,54Mn,26963798.4,0.0093,9.462298122839133
55,20,55Ca,0.022,1.0,-1.6575773191777938
55,21,55Sc,0.096,1.0,-1.0177287669604316
55,22,55Ti,1.3,1.0,0.11394335230683679
55,23,55V,6.54,1.0,0.8155777483242672
55,24,55Cr,209.82,1.0,2.3218468826928884
56,20,56Ca,0.011,1.0,-1.958607314841775
56,22,56Ti,0.2,1.0,-0.6989700043360187
56,23,56V,0.216,1.0,-0.6655462488490691
56,24,56Cr,356.40000000000003,1.0,2.5519376953648374
56,25,56Mn,9284.04,1.0,3.967737002932292
57,21,57Sc,0.022,1.0,-1.6575773191777938
57,22,57Ti,0.095,1.0,-1.0222763947111522
57,23,57V,0.35,1.0,-0.45593195564972444
57,24,57Cr,21.1,1.0,1.3242824552976926
57,25,57Mn,85.4,1.0,1.931457870689005
58,21,58Sc,0.012,1.0,-1.9208187539523751
58,22,58Ti,0.055,1.0,-1.2596373105057561
58,23,58V,0.191,1.0,-0.7189666327522725
58,24,58Cr,7.0,1.0,0.8450980400142568
58,25,58Mn,3.0,1.0,0.47712125471966244
59,22,59Ti,0.0285,1.0,-1.5451551399914898
59,23,59V,0.095,1.0,-1.0222763947111522
59,24,59Cr,1.05,1.0,0.021189299069938092
59,25,59Mn,4.59,1.0,0.6618126855372612
59,26,59Fe,3844800.0,1.0,6.584873753459825
60,22,60Ti,0.0222,1.0,-1.6536470255493614
60,24,60Cr,0.49,1.0,-0.3098039199714864
60,25,60Mn,0.28,1.0,-0.5528419686577808
60,26,60Fe,82679146120000.0,1.0,13.917395982743747
60,27,60Co,166349179.7164,1.0,8.221020663662795
61,22,61Ti,0.015,1.0,-1.8239087409443189
61,23,61V,0.0482,1.0,-1.3169529617611504
61,24,61Cr,0.243,1.0,-0.6143937264016879
61,25,61Mn,0.709,1.0,-0.1493537648169335
61,26,61Fe,358.8,1.0,2.5548524343720547
61,27,61Co,5936.4,1.0,3.773523156411806
62,23,62V,0.0336,1.0,-1.473660722610156
62,24,62Cr,0.206,1.0,-0.6861327796308466
62,26,62Fe,68.0,1.0,1.8325089127062364
62,27,62Co,92.4,1.0,1.9656719712201067
63,23,63V,0.0196,1.0,-1.707743928643524
63,24,63Cr,0.129,1.0,-0.889410289700751
63,25,63Mn,0.275,1.0,-0.5606673061697374
63,26,63Fe,6.1,1.0,0.785329835010767
63,27,63Co,26.9,1.0,1.429752280002408
63,28,63Ni,3193560911.2000003,1.0,9.504275203927781
64,23,64V,0.015,1.0,-1.8239087409443189
64,24,64Cr,0.043,1.0,-1.3665315444204136
64,25,64Mn,0.0888,1.0,-1.051587034221399
64,26,64Fe,2.0,1.0,0.3010299956639812
64,27,64Co,0.3,1.0,-0.5228787452803376
64,29,64Cu,45721.44,0.3848,5.0748848367084225
65,24,65Cr,0.0275,1.0,-1.5606673061697374
65,25,65Mn,0.0919,1.0,-1.0366844886138888
65,26,65Fe,0.805,1.0,-0.09420411963213146
65,27,65Co,1.16,1.0,0.06445798922691845
65,28,65Ni,9063.0,1.0,3.957271979992943
66,24,66Cr,0.0238,1.0,-1.623423042943488
66,25,66Mn,0.0638,1.0,-1.1951793212788377
66,26,66Fe,0.467,1.0,-0.33068311943388784
66,27,66Co,0.194,1.0,-0.712198270069774
66,28,66Ni,196560.0,1.0,5.2934951434720245
66,29,66Cu,307.2,1.0,2.4874212113594742
67,25,67Mn,0.0467,1.0,-1.330683119433888
67,26,67Fe,0.394,1.0,-0.40450377817442584
67,27,67Co,0.329,1.0,-0.48280410205002566
67,28,67Ni,21.0,1.0,1.3222192947339193
67,29,67Cu,222588.0,1.0,5.347501747266163
68,25,68Mn,0.0337,1.0,-1.4723700991286615
68,26,68Fe,0.188,1.0,-0.7258421507363202
68,28,68Ni,29.0,1.0,1.462397997898956
68,29,68Cu,30.9,1.0,1.4899584794248346
69,25,69Mn,0.0221,1.0,-1.6556077263148894
69,26,69Fe,0.162,1.0,-0.790484985457369
69,28,69Ni,11.4,1.0,1.0569048513364727
69,29,69Cu,171.0,1.0,2.232996110392154
69,30,69Zn,3384.0,1.0,3.529430354366986
70,25,70Mn,0.0198999999999999,1.0,-1.7011469235902956
70,26,70Fe,0.0614,1.0,-1.2118316288588322
70,28,70Ni,6.0,1.0,0.7781512503836436
70,29,70Cu,44.5,1.0,1.6483600109809315
70,31,70Ga,1268.4,0.9959,3.1050405009840927
71,26,71Fe,0.0343,1.0,-1.4647058799572297
71,27,71Co,0.08,1.0,-1.0969100130080565
71,28,71Ni,2.56,1.0,0.4082399653118496
71,29,71Cu,19.4,1.0,1.287801729930226
71,30,71Zn,144.0,1.0,2.1583624920952498
72,26,72Fe,0.017,1.0,-1.7695510786217261
72,28,72Ni,1.57,1.0,0.19589965240923374
72,29,72Cu,6.63,1.0,0.8215135284047731
72,30,72Zn,167400.0,1.0,5.223755453657241
72,31,72Ga,50490.0,1.0,4.703205370695486
73,26,73Fe,0.0129,1.0,-1.889410289700751
73,27,73Co,0.042,1.0,-1.3767507096020994
73,28,73Ni,0.84,1.0,-0.07572071393811836
73,29,73Cu,4.2,1.0,0.6232492903979004
73,30,73Zn,24.5,1.0,1.3891660843645326
73,31,73Ga,17496.0,1.0,4.242938770029581
74,26,74Fe,0.005,1.0,-2.3010299956639813
74,27,74Co,0.0313,1.0,-1.5044556624535514
74,28,74Ni,0.5077,1.0,-0.29439283659539495
74,29,74Cu,1.606,1.0,0.20574554094266218
74,30,74Zn,95.6,1.0,1.9804578922761
74,31,74Ga,487.19999999999993,1.0,2.687707279624819
74,33,74As,1535328.0,0.34,6.65472225324194
75,27,75Co,0.0265,1.0,-1.576754126063192
75,28,75Ni,0.3316,1.0,-0.4793854781217641
75,29,75Cu,1.224,1.0,0.08778141780954239
75,30,75Zn,10.2,1.0,1.0086001717619175
75,31,75Ga,126.0,1.0,2.100370545117563
75,32,75Ge,4966.8,1.0,3.6960766724483847
76,28,76Ni,0.2346,1.0,-0.6296719922204895
76,29,76Cu,0.6377,1.0,-0.1953835830127449
76,30,76Zn,5.7,1.0,0.7558748556724915
76,31,76Ga,30.6,1.0,1.4857214264815801
76,32,76Ge,59327020880.0,1.0,10.77325254068768
76,33,76As,94461.12,1.0,4.975253090583642
77,27,77Co,0.015,1.0,-1.8239087409443189
77,28,77Ni,0.1589,1.0,-0.7988761027926204
77,29,77Cu,0.4703,1.0,-0.3276250212539205
77,30,77Zn,2.08,1.0,0.31806333496276157
77,31,77Ga,13.2,1.0,1.1205739312058498
77,32,77Ge,40359.6,1.0,4.6059468533365875
77,33,77As,139644.0,1.0,5.1450222803673435
78,28,78Ni,0.1222,1.0,-0.9129287940934646
78,29,78Cu,0.3307,1.0,-0.48056580508629715
